rcp26,rcp45,rcp60,rcp85,basetemp
22.56802223,23.12185423,23.40553494,24.40207328,21.97524248
22.57964536,23.14433682,23.43357989,24.44965819,21.97524248
22.59126849,23.1668194,23.46162484,24.49724311,21.97524248
22.60289162,23.18930198,23.48966979,24.54482803,21.97524248
22.61451476,23.21178457,23.51771474,24.59241295,21.97524248
22.62613789,23.23426715,23.54575969,24.63999786,21.97524248
22.63776102,23.25674973,23.57380464,24.68758278,21.97524248
22.64938415,23.27923232,23.60184959,24.7351677,21.97524248
22.66100728,23.3017149,23.62989454,24.78275262,21.97524248
22.67263042,23.32419748,23.65793949,24.83033753,21.97524248
22.68425355,23.34668007,23.68598444,24.87792245,21.97524248
22.69587668,23.36916265,23.71402939,24.92550737,21.97524248
22.70749981,23.39164523,23.74207434,24.97309229,21.97524248
22.71912295,23.41412782,23.77011929,25.0206772,21.97524248
22.73074608,23.4366104,23.79816424,25.06826212,21.97524248
22.74236921,23.45909298,23.82620919,25.11584704,21.97524248
22.75399234,23.48157557,23.85425414,25.16343196,21.97524248
22.76561547,23.50405815,23.88229909,25.21101687,21.97524248
22.77723861,23.52654073,23.91034404,25.25860179,21.97524248
22.78886174,23.54902332,23.93838899,25.30618671,21.97524248
22.80048487,23.5715059,23.96643394,25.35377163,21.97524248
22.812108,23.59398848,23.99447889,25.40135654,21.97524248
22.82373114,23.61647107,24.02252384,25.44894146,21.97524248
22.83535427,23.63895365,24.05056879,25.49652638,21.97524248
22.8469774,23.66143623,24.07861374,25.5441113,21.97524248
22.85860053,23.68391882,24.10665869,25.59169621,21.97524248
22.87022367,23.7064014,24.13470364,25.63928113,21.97524248
22.8818468,23.72888398,24.16274859,25.68686605,21.97524248
22.89346993,23.75136657,24.19079354,25.73445097,21.97524248
22.90509306,23.77384915,24.21883849,25.78203588,21.97524248
22.91671619,23.79633173,24.24688344,25.8296208,21.97524248
22.92833933,23.81881432,24.27492839,25.87720572,21.97524248
22.93996246,23.8412969,24.30297334,25.92479064,21.97524248
22.95158559,23.86377948,24.33101829,25.97237556,21.97524248
22.96320872,23.88626207,24.35906324,26.01996047,21.97524248
22.97483186,23.90874465,24.38710819,26.06754539,21.97524248
22.98645499,23.93122724,24.41515314,26.11513031,21.97524248
22.99807812,23.95370982,24.44319809,26.16271523,21.97524248
23.00970125,23.9761924,24.47124304,26.21030014,21.97524248
23.02132439,23.99867499,24.49928799,26.25788506,21.97524248
13.77976172,13.90072566,13.96402275,14.18017252,13.63781608
13.79395628,13.92701662,13.99664342,14.23440816,13.63781608
13.80815085,13.95330758,14.02926409,14.28864381,13.63781608
13.82234541,13.97959853,14.06188476,14.34287945,13.63781608
13.83653997,14.00588949,14.09450542,14.39711509,13.63781608
13.85073454,14.03218045,14.12712609,14.45135074,13.63781608
13.8649291,14.05847141,14.15974676,14.50558638,13.63781608
13.87912366,14.08476237,14.19236743,14.55982203,13.63781608
13.89331823,14.11105332,14.22498809,14.61405767,13.63781608
13.90751279,14.13734428,14.25760876,14.66829331,13.63781608
13.92170735,14.16363524,14.29022943,14.72252896,13.63781608
13.93590192,14.1899262,14.3228501,14.7767646,13.63781608
13.95009648,14.21621716,14.35547076,14.83100025,13.63781608
13.96429105,14.24250811,14.38809143,14.88523589,13.63781608
13.97848561,14.26879907,14.4207121,14.93947153,13.63781608
13.99268017,14.29509003,14.45333277,14.99370718,13.63781608
14.00687474,14.32138099,14.48595343,15.04794282,13.63781608
14.0210693,14.34767194,14.5185741,15.10217847,13.63781608
14.03526386,14.3739629,14.55119477,15.15641411,13.63781608
14.04945843,14.40025386,14.58381544,15.21064975,13.63781608
14.06365299,14.42654482,14.6164361,15.2648854,13.63781608
14.07784756,14.45283578,14.64905677,15.31912104,13.63781608
14.09204212,14.47912673,14.68167744,15.37335668,13.63781608
14.10623668,14.50541769,14.7142981,15.42759233,13.63781608
14.12043125,14.53170865,14.74691877,15.48182797,13.63781608
14.13462581,14.55799961,14.77953944,15.53606362,13.63781608
14.14882037,14.58429057,14.81216011,15.59029926,13.63781608
14.16301494,14.61058152,14.84478077,15.6445349,13.63781608
14.1772095,14.63687248,14.87740144,15.69877055,13.63781608
14.19140406,14.66316344,14.91002211,15.75300619,13.63781608
14.20559863,14.6894544,14.94264278,15.80724184,13.63781608
14.21979319,14.71574536,14.97526344,15.86147748,13.63781608
14.23398776,14.74203631,15.00788411,15.91571312,13.63781608
14.24818232,14.76832727,15.04050478,15.96994877,13.63781608
14.26237688,14.79461823,15.07312545,16.02418441,13.63781608
14.27657145,14.82090919,15.10574611,16.07842005,13.63781608
14.29076601,14.84720015,15.13836678,16.1326557,13.63781608
14.30496057,14.8734911,15.17098745,16.18689134,13.63781608
14.31915514,14.89978206,15.20360812,16.24112699,13.63781608
14.3333497,14.92607302,15.23622878,16.29536263,13.63781608
14.34754427,14.95236398,15.26884945,16.34959827,13.63781608
14.36173883,14.97865494,15.30147012,16.40383392,13.63781608
14.37593339,15.00494589,15.33409079,16.45806956,13.63781608
14.39012796,15.03123685,15.36671145,16.51230521,13.63781608
14.40432252,15.05752781,15.39933212,16.56654085,13.63781608
14.41851708,15.08381877,15.43195279,16.62077649,13.63781608
14.43271165,15.11010972,15.46457345,16.67501214,13.63781608
14.44690621,15.13640068,15.49719412,16.72924778,13.63781608
14.46110077,15.16269164,15.52981479,16.78348342,13.63781608
14.47529534,15.1889826,15.56243546,16.83771907,13.63781608
14.4894899,15.21527356,15.59505612,16.89195471,13.63781608
